source_commit	payload_digest	harness	harness_version	model	date	case_id	repetition	activation	artifact	question	invariant	forbidden	tokens	latency_ms	trace	result
5e8cd7635ea6c7c8b22d499fbd5ed5b1bf65ac48	e7646d78dad507462e132f40fbb8b7ec2dcb2da4fd9614a9edb1e3dd7dc99969	codex	0.145.0	gpt-5.6-sol	2026-08-01	fork-question-preference	1	pass	none	blocked	blocked	blocked	n/a	45000	private:baseline/codex-preference.jsonl	Loaded Fork-me; cross-root skill read stalled before selection.
5e8cd7635ea6c7c8b22d499fbd5ed5b1bf65ac48	e7646d78dad507462e132f40fbb8b7ec2dcb2da4fd9614a9edb1e3dd7dc99969	claude-code	2.1.173	claude-opus-4-8	2026-08-01	fork-question-preference	1	blocked	none	blocked	blocked	blocked	0	2285	private:baseline/claude-preference.jsonl	OAuth token expired before model execution.
5e8cd7635ea6c7c8b22d499fbd5ed5b1bf65ac48	e7646d78dad507462e132f40fbb8b7ec2dcb2da4fd9614a9edb1e3dd7dc99969	opencode	1.17.13	zai-coding-plan/glm-4.5-air	2026-08-01	fork-question-preference	1	fail	none	bare	fail	fail	12738	5929	private:baseline/opencode-preference.jsonl	Universal Suspec catalog was installed; model ignored it and asked a bare repository question.
